isin,date
IE00BLP1HW54,2018Q4
INE001A01036,2018Q4
BRNTCOACNOR5,2018Q4
US69047Q1022,2018Q4
COJ26CD43867,2018Q4
COJ26CD43735,2018Q4
COJ26CD43214,2018Q4
COJ26CD43206,2018Q4
COB13CD36734,2018Q4
COB13CD38730,2018Q4
COB13CD47046,2018Q4
COB13CD15746,2018Q4
COB13CD33129,2018Q4
COB13CD34010,2018Q4
COB19CD0V9P1,2018Q4
COB02CD17919,2018Q4
COB02CD19899,2018Q4
COB02CD17943,2018Q4
COB02CD20087,2018Q4
COB02CD20103,2018Q4
COB02CD24113,2018Q4
COB02CD22604,2018Q4
COB19CD0WTF5,2018Q4
COB19CD00LT5,2018Q4
COB19CD0XAV0,2018Q4
COB19CD0XN53,2018Q4
COB19CD0YE53,2018Q4
COB19CD0YR09,2018Q4
COB19CD0YSQ0,2018Q4
COB19CD0UA10,2018Q4
COB19CD12NJ7,2018Q4
COB19CD13LL5,2018Q4
COB19CD0VVK3,2018Q4
COB19CD10AE9,2018Q4
COB65CD00599,2018Q4
COB52CD48752,2018Q4
COB52CD48125,2018Q4
COB52CD47127,2018Q4
COB13CD76938,2018Q4
COB13CD71426,2018Q4
COB13CD75302,2018Q4
COB13CD67176,2018Q4
COB13CD66228,2018Q4
COB13CD73679,2018Q4
COB13CD67713,2018Q4
COB13CD73869,2018Q4
COB13CD07SN1,2018Q4
COB13CD63043,2018Q4
COB13CD85202,2018Q4
COB13CD74966,2018Q4
COB13CD68844,2018Q4
COB13CD67010,2018Q4
COB13CD67192,2018Q4
COB13CD67762,2018Q4
COB61CD20XS2,2018Q4
COB51CD01JP8,2018Q4
COB51CD01KF7,2018Q4
COB51CD01R85,2018Q4
COB51CD02HH7,2018Q4
COB51CD02HV8,2018Q4
COB51CD02NQ6,2018Q4
COB51CD00VU5,2018Q4
COB51CD02O38,2018Q4
COB51CD02IA0,2018Q4
COB51CD02LT4,2018Q4
COB51CD01PH2,2018Q4
COB51CD03CG8,2018Q4
COB51CD00VV3,2018Q4
COB01CD04VY4,2018Q4
COB01CD06YS5,2018Q4
COB01CD06YX5,2018Q4
COB01CD07MD0,2018Q4
COB56CD0WBK7,2018Q4
COB56CD175B6,2018Q4
COB06CD1ECT3,2018Q4
COB06CD1FLC7,2018Q4
COB31CD07166,2018Q4
COB07CD04NZ5,2018Q4
COB07CD04XP5,2018Q4
COB07CD01AX3,2018Q4
COB07CD05C34,2018Q4
COB07CD077L3,2018Q4
COB07CD07X29,2018Q4
COB07CD05FV7,2018Q4
COB07CD07CE6,2018Q4
COB07CD07F47,2018Q4
COB07CD07F21,2018Q4
COB07CD08PJ5,2018Q4
COB07CD05JJ4,2018Q4
