"","x"
"1","Angola"
"2","Egypt"
"3","Ethiopia"
"4","Ghana"
"5","Kenya"
"6","Morocco"
"7","Nigeria"
"8","Senegal"
"9","South Africa"
"10","Zambia"
"11","Azerbaijan"
"12","China"
"13","South Korea"
"14","Philippines"
"15","Indonesia"
"16","Japan"
"17","Kazakhstan"
"18","Malaysia"
"19","Mongolia"
"20","Pakistan"
"21","Russia"
"22","Sri Lanka"
"23","Vietnam"
"24","Croatia"
"25","Slovakia"
"26","Finland"
"27","Hungary"
"28","Israel"
"29","Italy"
"30","Lithuania"
"31","Poland"
"32","Romania"
"33","Turkey"
"34","Ukraine"
"35","Saudi Arabia"
"36","Bahrain"
"37","United Arab Emirates"
"38","Iraq"
"39","Jordan"
"40","Qatar"
"41","Kuwait"
"42","Lebanon"
"43","Oman"
"44","Canada"
"45","United States"
"46","Mexico"
"47","Argentina"
"48","Bolivia"
"49","Brazil"
"50","Chile"
"51","Colombia"
"52","Costa Rica"
"53","Ecuador"
"54","El Salvador"
"55","Jamaica"
"56","Panama"
"57","Paraguay"
"58","Peru"
"59","Dominican Republic"
"60","Uruguay"
